bu_sk,item_sk,local_date,outlier_flags,available_stock,reserved_stock,allocated_stock,blocked_stock,demand_stock,acceptable_stock,avoidable_stock,avoidable_reason_ifk,acceptable_stock_goal,avoidable_stock_goal,warehouse_unprotected,warehouse_protected,warehouse_total,warehouse_unprotected_demand_stock,warehouse_protected_demand_stock,shelf_stock,osa_want_stock_flag,available_stock_at_opening,blocked_stock_at_opening,stock_on_hand_at_opening,osa_want_stock_quantity,osa_have_stock_flag,osa_need_stock_flag,osa_missed_sales_quantity,,
1,1,2024-02-03 00:00:00,"{""flag_stock"": false}",272,11,9,3,41,164.6,107.4,4,180.4,105.6,174,105,279,22.7,5.8,20,1,261,4,285,49,1,0,0,,
1,1,2024-02-04 00:00:00,"{""flag_stock"": false}",279,15,7,3,41,170.8,108.2,2,175.9,104.2,161,104,265,23.4,6.6,20,1,272,4,298,38,1,0,0,,
1,1,2024-02-05 00:00:00,"{""flag_stock"": false}",276,12,8,6,31,203.5,72.5,4,219.5,71.6,171,109,280,18.3,4.9,21,1,279,5,304,28,0,1,1,,
1,1,2024-02-06 00:00:00,"{""flag_stock"": false}",277,19,6,4,24,161.3,115.7,5,165.7,113.1,175,113,288,12.4,1.2,19,1,276,5,306,18,1,0,0,,
1,1,2024-02-07 00:00:00,"{""flag_stock"": false}",277,11,7,4,23,187,90,4,201.1,83.8,179,118,297,16.4,2.4,23,1,277,3,298,29,0,1,1,,
1,1,2024-02-08 00:00:00,"{""flag_stock"": false}",279,6,2,7,29,190.2,88.8,2,195,87.3,179,119,298,15.9,5.9,17,1,277,6,291,36,1,0,0,,
1,1,2024-02-09 00:00:00,"{""flag_stock"": false}",281,14,10,1,37,196.4,84.6,2,206.4,83.7,177,113,290,19.6,6.1,27,1,279,2,305,45,1,0,0,,
1,1,2024-02-10 00:00:00,"{""flag_stock"": false}",280,16,7,3,34,199.7,80.3,2,214.2,72.5,181,107,288,14.5,7.1,22,1,281,3,307,41,0,1,1,,
1,1,2024-02-11 00:00:00,"{""flag_stock"": false}",279,27,11,3,34,160.2,118.8,4,168.3,113.2,172,102,274,16.1,6.6,14,1,280,4,322,33,0,1,1,,
1,1,2024-02-12 00:00:00,"{""flag_stock"": false}",286,11,6,6,27,182.3,103.7,3,189.9,102.1,173,102,275,19.3,4.4,29,1,279,6,302,35,0,1,1,,
1,1,2024-02-13 00:00:00,"{""flag_stock"": false}",282,13,9,4,26,161.7,120.3,4,169.7,110.5,188,101,289,14.1,4.5,18,1,286,4,312,24,1,0,0,,
1,1,2024-02-14 00:00:00,"{""flag_stock"": false}",288,14,6,6,35,210.4,77.6,3,222.8,71.4,183,98,281,19.1,7.2,22,1,282,7,309,37,0,1,1,,
1,1,2024-02-15 00:00:00,"{""flag_stock"": false}",296,17,5,6,28,195.4,100.6,5,202.1,98.9,185,94,279,15.4,3.7,23,1,288,5,315,23,0,1,1,,
1,1,2024-02-16 00:00:00,"{""flag_stock"": false}",298,18,13,6,23,190.4,107.6,2,197.3,105.7,185,98,283,9.3,2.5,26,1,296,7,334,18,1,0,0,,
1,1,2024-02-17 00:00:00,"{""flag_stock"": false}",294,19,9,2,38,185.6,108.4,3,187.2,102.8,190,96,286,26.9,5.7,26,1,298,0,326,40,0,1,1,,
1,1,2024-02-18 00:00:00,"{""flag_stock"": false}",300,13,9,4,31,207.2,92.8,5,215.1,90.7,185,97,282,16.6,6.6,15,1,294,4,320,27,1,0,0,,
1,1,2024-02-19 00:00:00,"{""flag_stock"": false}",298,11,8,6,20,202.1,95.9,3,218.7,92.2,176,93,269,12.9,3,22,1,300,7,326,26,0,1,1,,
1,1,2024-02-20 00:00:00,"{""flag_stock"": false}",295,14,5,4,20,186.3,108.7,1,188,103,183,94,277,17.8,1,23,1,298,3,320,18,1,0,0,,
1,1,2024-02-21 00:00:00,"{""flag_stock"": false}",291,14,6,6,36,203.5,87.5,2,215.1,82.9,181,90,271,19.5,7.3,23,1,295,7,322,34,1,0,0,,
1,1,2024-02-22 00:00:00,"{""flag_stock"": false}",303,13,4,8,36,225.3,77.7,2,226,73.3,185,84,269,17.5,2.5,19,1,291,9,317,37,0,1,1,,
1,1,2024-02-23 00:00:00,"{""flag_stock"": false}",304,18,5,6,25,215.4,88.6,1,217,83.5,194,89,283,17.8,2.3,24,1,303,7,333,23,0,1,1,,
1,1,2024-02-24 00:00:00,"{""flag_stock"": false}",293,20,11,5,40,166.7,126.3,4,167.3,118.5,214,83,297,17,2.7,17,1,304,5,340,34,0,1,1,,
1,1,2024-02-25 00:00:00,"{""flag_stock"": false}",294,19,7,2,23,177.2,116.8,5,191.2,112.4,221,81,302,18.1,7.6,15,1,293,4,323,26,0,1,1,,
1,1,2024-02-26 00:00:00,"{""flag_stock"": false}",293,22,8,7,26,208.9,84.1,3,217.1,78.8,216,86,302,12.2,4.6,27,1,294,5,329,14,0,1,1,,
1,1,2024-02-27 00:00:00,"{""flag_stock"": false}",294,11,8,4,31,218.5,75.5,5,224.9,73.7,219,78,297,12.4,2.3,26,1,293,5,317,30,1,0,0,,
1,1,2024-02-28 00:00:00,"{""flag_stock"": false}",290,19,1,1,33,166.4,123.6,5,168.1,119.3,221,79,300,20.5,1.4,25,1,294,1,315,27,0,1,1,,
1,1,2024-02-29 00:00:00,"{""flag_stock"": false}",289,16,7,2,24,187.5,101.5,2,204,97.1,218,83,301,14.4,3,26,1,290,2,315,19,0,1,1,,
1,1,2024-03-01 00:00:00,"{""flag_stock"": false}",297,21,6,6,40,213.7,83.3,2,225.7,79.9,220,78,298,19.7,4.5,18,1,289,5,321,33,0,1,1,,
1,1,2024-03-02 00:00:00,"{""flag_stock"": false}",296,19,7,6,40,204.6,91.4,1,207.8,87.9,227,88,315,21.6,9,20,1,297,6,329,32,1,0,0,,
1,1,2024-03-03 00:00:00,"{""flag_stock"": true}",309,8,2,4,34,205.5,103.5,5,215.5,99.4,226,89,315,22.6,5.5,31,1,296,5,311,38,0,1,1,,
1,1,2024-03-04 00:00:00,"{""flag_stock"": true}",312,13,8,1,33,229.7,82.3,4,230.7,74.2,222,92,314,17.1,6.6,22,1,309,2,332,44,0,1,1,,
1,1,2024-03-05 00:00:00,"{""flag_stock"": false}",305,15,9,5,28,222,83,5,227,76,214,94,308,15.3,2.1,20,1,312,6,342,42,1,0,0,,
1,1,2024-03-06 00:00:00,"{""flag_stock"": true}",308,18,6,6,36,227.6,80.4,5,250,76.2,201,102,303,20.1,4.7,21,1,305,7,336,30,0,1,1,,
1,1,2024-03-07 00:00:00,"{""flag_stock"": true}",307,16,10,5,34,205.7,101.3,1,205.8,94.5,194,112,306,12.2,3.5,21,1,308,3,337,29,1,0,0,,
1,1,2024-03-08 00:00:00,"{""flag_stock"": true}",310,14,3,5,21,200,110,5,200,108.4,186,109,295,17.3,2.2,20,1,307,6,330,26,0,1,1,,
1,1,2024-03-09 00:00:00,"{""flag_stock"": true}",316,17,9,1,40,214.5,101.5,1,219.7,98.5,182,101,283,20.8,1.4,30,1,310,2,338,44,1,0,0,,
1,1,2024-03-10 00:00:00,"{""flag_stock"": true}",321,20,5,3,41,228.4,92.6,3,232.7,83.5,169,102,271,22.8,10.3,30,1,316,3,344,41,1,0,0,,
1,1,2024-03-11 00:00:00,"{""flag_stock"": true}",314,15,4,6,28,222.8,91.2,1,240.4,84.1,172,102,274,19.6,6.6,27,1,321,6,346,18,0,1,1,,
1,1,2024-03-12 00:00:00,"{""flag_stock"": true}",326,19,8,4,30,179.6,146.4,4,190.4,138.8,181,98,279,16.7,7.9,20,1,314,3,344,30,0,1,1,,
1,1,2024-03-13 00:00:00,"{""flag_stock"": true}",331,21,9,7,29,233.9,97.1,4,238.7,95.8,197,99,296,23.3,2.4,23,1,326,7,363,36,1,0,0,,
1,1,2024-03-14 00:00:00,"{""flag_stock"": true}",326,10,6,6,29,202.9,123.1,5,217.5,112.2,206,96,302,11,3.1,19,1,331,7,354,38,0,1,1,,
1,1,2024-03-15 00:00:00,"{""flag_stock"": true}",334,17,2,5,26,244.3,89.7,5,258.6,84.9,199,98,297,12.5,4.8,16,1,326,5,350,26,0,1,1,,
1,1,2024-03-16 00:00:00,"{""flag_stock"": true}",333,17,5,2,46,222.2,110.8,4,224.6,108.8,190,102,292,32.5,9.1,21,1,334,3,359,46,1,0,0,,
1,1,2024-03-17 00:00:00,"{""flag_stock"": true}",340,9,4,9,39,195.7,144.3,1,206.9,142.6,192,91,283,22.7,6.5,19,1,333,9,355,41,1,0,0,,
1,1,2024-03-18 00:00:00,"{""flag_stock"": true}",341,10,4,0,31,250.6,90.4,3,250.9,84.1,199,91,290,17.7,4.1,25,1,340,0,354,29,1,0,0,,
1,1,2024-03-19 00:00:00,"{""flag_stock"": true}",348,18,10,7,25,195.5,152.5,2,206.3,138.3,200,92,292,14.5,5.8,29,1,341,7,376,28,0,1,1,,
1,1,2024-03-20 00:00:00,"{""flag_stock"": true}",347,17,7,5,22,233.5,113.5,5,240.1,109,198,86,284,9.3,5.3,21,1,348,6,378,22,0,1,1,,
1,1,2024-03-21 00:00:00,"{""flag_stock"": true}",342,12,7,3,25,214.2,127.8,2,232.6,117,209,79,288,13.3,1.7,24,1,347,3,369,20,0,1,1,,
1,1,2024-03-22 00:00:00,"{""flag_stock"": true}",340,23,11,4,34,218.7,121.3,4,234,119.1,227,83,310,18.5,5.8,24,1,342,4,380,42,1,0,0,,
1,1,2024-03-23 00:00:00,"{""flag_stock"": false}",34,17,8,3,39,22.6,11.4,3,23,11,219,88,307,19.5,8,18,1,340,2,367,46,0,1,1,,
1,1,2024-03-24 00:00:00,"{""flag_stock"": false}",34,5,11,3,41,22,12,1,22.9,11.6,217,77,294,21.5,1.5,18,1,34,3,53,35,0,1,1,,
1,1,2024-03-25 00:00:00,"{""flag_stock"": false}",38,18,8,5,30,28.2,9.8,3,28.9,9.2,218,74,292,22.5,10.9,21,1,34,4,64,19,1,0,0,,
1,1,2024-03-26 00:00:00,"{""flag_stock"": false}",46,15,6,4,41,33.6,12.4,1,33.7,11.9,220,79,299,17.4,7,30,1,38,4,63,34,1,0,0,,
1,1,2024-03-27 00:00:00,"{""flag_stock"": false}",43,19,14,8,31,25.3,17.7,2,26.9,16.2,220,83,303,18.3,6.6,31,1,46,7,86,38,0,1,1,,
1,1,2024-03-28 00:00:00,"{""flag_stock"": false}",38,20,9,7,20,24.1,13.9,5,24.8,13.6,212,87,299,19.3,6.2,18,1,43,8,80,24,1,0,0,,
1,1,2024-03-29 00:00:00,"{""flag_stock"": false}",41,15,10,4,24,24.8,16.2,1,24.8,15.9,210,89,299,13.9,4.9,22,1,38,5,68,28,0,1,1,,
1,1,2024-03-30 00:00:00,"{""flag_stock"": false}",37,18,3,5,42,21.9,15.1,5,24,13.8,215,98,313,20.5,2,9,1,41,5,67,41,0,1,1,,
1,1,2024-03-31 00:00:00,"{""flag_stock"": false}",43,19,9,1,39,32,11,4,32,10.4,234,94,328,26.2,7.8,20,1,37,2,67,49,0,1,1,,
1,1,2024-04-01 00:00:00,"{""flag_stock"": false}",50,16,5,4,25,29.1,20.9,4,29.8,18.9,219,103,322,13.2,9.3,20,1,43,5,69,19,1,0,0,,
1,1,2024-04-02 00:00:00,"{""flag_stock"": false}",47,13,12,4,39,34.9,12.1,1,35.3,11.3,223,105,328,24.5,6.6,24,1,50,3,78,32,1,0,0,,
1,1,2024-04-03 00:00:00,"{""flag_stock"": false}",61,12,6,1,32,42.6,18.4,1,45.7,16.7,227,105,332,15.3,4.9,26,1,47,0,65,34,0,1,1,,
1,1,2024-04-04 00:00:00,"{""flag_stock"": false}",65,20,9,4,32,43.2,21.8,1,45.7,20.3,219,106,325,17.6,5.3,17,1,61,4,94,33,1,0,0,,
1,1,2024-04-05 00:00:00,"{""flag_stock"": false}",70,17,4,5,26,41.1,28.9,5,43.9,26.1,212,101,313,16,5.7,28,1,65,5,91,16,0,1,1,,
1,1,2024-04-06 00:00:00,"{""flag_stock"": false}",71,23,5,5,48,43,28,4,46.4,25.6,211,97,308,23.5,7.5,21,1,70,6,104,40,0,1,1,,
1,1,2024-04-07 00:00:00,"{""flag_stock"": false}",76,17,9,7,32,48.9,27.1,4,51.3,24.6,229,101,330,20.7,1.3,19,1,71,7,104,31,0,1,1,,
1,1,2024-04-08 00:00:00,"{""flag_stock"": false}",76,8,7,4,28,54.4,21.6,2,56.7,21.5,230,94,324,11,3.3,29,1,76,5,96,27,1,0,0,,
1,1,2024-04-09 00:00:00,"{""flag_stock"": false}",76,11,8,4,32,52.1,23.9,3,54.4,23.3,244,97,341,25.2,7.6,22,1,76,4,99,34,0,1,1,,
1,1,2024-04-10 00:00:00,"{""flag_stock"": false}",72,16,5,5,37,49.2,22.8,2,52.6,22.7,238,95,333,15.7,2.5,21,1,76,7,104,41,0,1,1,,
1,1,2024-04-11 00:00:00,"{""flag_stock"": false}",76,11,7,1,29,52.5,23.5,3,56.5,21.7,235,80,315,17.7,5.1,25,1,72,0,90,33,0,1,1,,
1,1,2024-04-12 00:00:00,"{""flag_stock"": false}",74,20,4,4,35,50.2,23.8,5,53.7,23,237,76,313,19.2,4,33,1,76,4,104,31,0,1,1,,
1,1,2024-04-13 00:00:00,"{""flag_stock"": false}",88,15,12,2,45,58.1,29.9,4,61.2,28.3,229,76,305,23.2,7.6,28,1,74,3,104,45,1,0,0,,
1,1,2024-04-14 00:00:00,"{""flag_stock"": false}",92,11,13,1,46,67.8,24.2,4,69.2,22.5,247,81,328,17.7,4.1,22,1,88,2,114,51,0,1,1,,
1,1,2024-04-15 00:00:00,"{""flag_stock"": false}",99,15,9,7,39,59.3,39.7,2,63.1,36.5,244,87,331,18.1,5.3,25,1,92,7,123,27,0,1,1,,
1,1,2024-04-16 00:00:00,"{""flag_stock"": false}",108,19,3,4,26,66.4,41.6,5,71.1,38.5,245,91,336,11.8,1.1,19,1,99,5,126,18,0,1,1,,
1,1,2024-04-17 00:00:00,"{""flag_stock"": false}",106,20,4,3,32,77.2,28.8,2,78.8,27.2,252,99,351,21.8,2.9,23,1,108,4,136,35,0,1,1,,
1,1,2024-04-18 00:00:00,"{""flag_stock"": false}",104,16,7,2,27,59.7,44.3,2,63.6,40.3,252,101,353,12.7,1.9,19,1,106,1,130,35,0,1,1,,
1,1,2024-04-19 00:00:00,"{""flag_stock"": false}",94,22,10,2,29,55.4,38.6,3,58.7,36.1,256,101,357,12.3,2,18,1,104,4,140,26,0,1,1,,
1,1,2024-04-20 00:00:00,"{""flag_stock"": false}",99,11,2,8,40,73.9,25.1,5,76.1,23.4,250,104,354,23.4,4.7,28,1,94,7,114,39,0,1,1,,
1,1,2024-04-21 00:00:00,"{""flag_stock"": false}",106,11,7,2,32,65.9,40.1,5,71.6,39.3,246,102,348,22.3,7.2,27,1,99,1,118,40,1,0,0,,
1,1,2024-04-22 00:00:00,"{""flag_stock"": false}",110,20,11,4,20,69,41,1,70.3,39.7,252,100,352,18.3,0.7,20,1,106,4,141,19,0,1,1,,
1,1,2024-04-23 00:00:00,"{""flag_stock"": false}",113,21,4,2,34,63,50,2,67.5,48.3,264,111,375,12.7,5.3,25,1,110,1,136,40,1,0,0,,
1,1,2024-04-24 00:00:00,"{""flag_stock"": false}",123,16,9,5,25,91.4,31.6,2,93.3,30.4,259,111,370,17.4,4.8,25,1,113,4,142,23,0,1,1,,
1,1,2024-04-25 00:00:00,"{""flag_stock"": false}",127,16,8,4,27,71.1,55.9,1,73.7,51.4,258,110,368,17,1.9,21,1,123,2,149,24,0,1,1,,
1,1,2024-04-26 00:00:00,"{""flag_stock"": false}",129,12,6,5,29,76,53,5,82,48.1,251,108,359,18.2,3.4,17,1,127,5,150,33,1,0,0,,
1,1,2024-04-27 00:00:00,"{""flag_stock"": false}",131,19,5,3,37,93.3,37.7,2,101.9,35.4,241,116,357,19.3,4.5,21,1,129,3,156,35,0,1,1,,
1,1,2024-04-28 00:00:00,"{""flag_stock"": false}",126,16,6,6,43,83.4,42.6,1,90.9,42.1,243,114,357,22.3,10,20,1,131,7,160,37,1,0,0,,
1,1,2024-04-29 00:00:00,"{""flag_stock"": false}",133,11,3,5,26,80.7,52.3,5,87.7,50.4,254,108,362,14.2,-0.5,21,1,126,5,145,22,1,0,0,,
1,1,2024-04-30 00:00:00,"{""flag_stock"": false}",125,9,10,5,42,87.4,37.6,5,88.3,35.6,233,98,331,19.4,5.1,16,1,133,3,155,43,0,1,1,,
1,1,2024-05-01 00:00:00,"{""flag_stock"": false}",135,11,8,5,29,85.6,49.4,3,88.4,45.3,244,100,344,25,10,22,1,125,4,148,23,1,0,0,,
1,1,2024-05-02 00:00:00,"{""flag_stock"": false}",141,21,9,4,28,88.4,52.6,1,92.8,48.6,244,90,334,16.9,5.7,23,1,135,5,170,19,1,0,0,,
1,1,2024-05-03 00:00:00,"{""flag_stock"": false}",145,6,8,3,23,88.6,56.4,4,88.7,56.3,242,85,327,19.4,1.3,22,1,141,3,158,21,0,1,1,,
1,1,2024-05-04 00:00:00,"{""flag_stock"": false}",147,18,8,6,40,100.5,46.5,5,103.7,46.4,234,87,321,27.4,5.2,29,1,145,6,177,33,0,1,1,,
1,1,2024-05-05 00:00:00,"{""flag_stock"": false}",147,17,10,3,44,88.2,58.8,4,88.6,56.6,225,91,316,26.3,8.2,26,1,147,1,175,46,1,0,0,,
1,1,2024-05-06 00:00:00,"{""flag_stock"": true}",14,8,5,6,30,8.3,5.7,5,8.8,5.2,230,90,320,14.9,6.9,21,1,147,6,166,25,0,1,1,,
1,1,2024-05-07 00:00:00,"{""flag_stock"": true}",15,9,4,6,32,10.3,4.7,5,10.9,4.2,224,86,310,16.9,6.4,22,1,14,5,32,33,0,1,1,,
1,1,2024-05-08 00:00:00,"{""flag_stock"": true}",15,17,6,4,31,9.8,5.2,1,9.9,5.1,238,86,324,7.2,-0.6,21,1,15,3,41,29,0,1,1,,
1,1,2024-05-09 00:00:00,"{""flag_stock"": false}",25,9,4,2,33,15.1,9.9,1,16.2,9.2,233,89,322,21,6.8,22,1,15,1,29,38,1,0,0,,
1,1,2024-05-10 00:00:00,"{""flag_stock"": false}",15,5,8,5,26,10.5,4.5,4,10.5,4.4,241,90,331,12.7,4.8,20,1,25,5,43,20,0,1,1,,
1,1,2024-05-11 00:00:00,"{""flag_stock"": true}",18,12,8,4,48,10.1,7.9,5,10.9,7.2,245,96,341,25.4,8.6,28,1,15,5,40,53,1,0,0,,
1,1,2024-05-12 00:00:00,"{""flag_stock"": true}",13,12,7,4,44,7.4,5.6,5,7.9,5.3,246,101,347,23.4,5.5,20,1,18,5,42,41,0,1,1,,
1,1,2024-05-13 00:00:00,"{""flag_stock"": true}",13,10,4,6,34,9,4,2,9.7,4,238,99,337,17.8,4.9,25,1,13,6,33,31,0,1,1,,
1,1,2024-05-14 00:00:00,"{""flag_stock"": true}",9,18,1,5,28,6.1,2.9,1,6.7,2.7,237,100,337,17.4,5.3,32,1,13,4,36,26,1,0,0,,
1,1,2024-05-15 00:00:00,"{""flag_stock"": true}",11,12,7,3,24,6.5,4.5,4,6.7,4.3,247,100,347,14.8,7.8,21,1,9,4,32,20,0,1,1,,
1,1,2024-05-16 00:00:00,"{""flag_stock"": false}",14,12,7,5,26,8.8,5.2,1,9.2,4.7,240,104,344,15.8,5.2,24,1,11,4,34,26,1,0,0,,
1,1,2024-05-17 00:00:00,"{""flag_stock"": false}",18,16,14,4,23,11.8,6.2,3,12.4,5.8,241,106,347,19.9,4.2,23,1,14,5,49,28,0,1,1,,
1,1,2024-05-18 00:00:00,"{""flag_stock"": true}",19,15,11,6,42,11.9,7.1,5,11.9,6.4,246,101,347,20.3,9.6,20,1,18,7,51,43,0,1,1,,
1,1,2024-05-19 00:00:00,"{""flag_stock"": false}",23,18,9,3,38,15.9,7.1,3,16.6,6.6,249,98,347,19.3,8.3,25,1,19,1,47,39,0,1,1,,
1,1,2024-05-20 00:00:00,"{""flag_stock"": false}",21,8,10,4,27,14.6,6.4,4,15.1,5.9,245,91,336,13.4,4.9,16,1,23,3,44,33,1,0,0,,
1,1,2024-05-21 00:00:00,"{""flag_stock"": false}",26,13,7,5,31,16.7,9.3,5,17,8.9,226,96,322,20.2,1.9,26,1,21,4,45,28,1,0,0,,
1,1,2024-05-22 00:00:00,"{""flag_stock"": false}",25,21,4,6,32,18.5,6.5,3,19.3,6,219,96,315,14.7,3,16,1,26,6,57,32,1,0,0,,
1,1,2024-05-23 00:00:00,"{""flag_stock"": false}",25,14,9,4,30,15.4,9.6,3,15.5,8.9,218,97,315,12.4,4.4,30,1,25,5,53,35,0,1,1,,
1,1,2024-05-24 00:00:00,"{""flag_stock"": false}",29,14,2,4,30,17.8,11.2,3,18.7,11.2,230,99,329,19.9,6.1,27,1,25,4,45,36,1,0,0,,
1,1,2024-05-25 00:00:00,"{""flag_stock"": false}",41,8,10,4,49,26.4,14.6,5,27.5,13.5,238,113,351,24.9,8.1,19,1,29,4,51,53,0,1,1,,
1,1,2024-05-26 00:00:00,"{""flag_stock"": false}",38,14,6,7,49,28.2,9.8,2,29.9,8.8,242,112,354,27.2,9.5,28,1,41,6,67,42,0,1,1,,
