local_forecast_date,bu_sk,item_sk,base_demand_forecast_units,demand_forecast_units,demand_forecast_net_deviation_quantity,demand_forecast_accuracy_score_ifk,demand_forecast_is_accurate_flag,operational_forecast_units,operational_forecast_net_deviation_quantity,operational_forecast_accuracy_score_ifk,operational_forecast_is_accurate_flag,operational_orderable_forecast_units,operational_carry_away_forecast_units,calculated_override,country_activity,days_last_change_country_activity
2024-02-02 00:00:00,1,1,4.08,4.2,4.2,4,True,4.55,4.55,4,True,4.27,0.66,4.9,0.8397,8
2024-02-03 00:00:00,1,1,8,7.44,7.44,3,False,7.82,7.82,3,False,7.41,0.82,1.56,0.8154,10
2024-02-04 00:00:00,1,1,8.45,7.69,7.69,3,False,7.83,7.83,3,False,6.94,0.57,4.43,0.9796,18
2024-02-05 00:00:00,1,1,5.95,5.26,5.26,3,False,5.28,5.28,3,False,4.64,0.68,0.71,1.1351,0
2024-02-06 00:00:00,1,1,4.54,4.16,1.16,5,True,4.71,1.71,5,True,4.02,0.3,2.24,0.7977,22
2024-02-07 00:00:00,1,1,5.87,5.54,0.54,5,True,6.13,1.13,5,True,5.59,0.32,3.16,0.7873,22
2024-02-08 00:00:00,1,1,4.2,3.91,3.91,4,True,3.81,3.81,4,True,3.56,0.26,3.03,0.8898,21
2024-02-09 00:00:00,1,1,4.04,3.99,-2.01,4,True,4.15,-1.85,5,True,3.82,0.36,2.45,1,24
2024-02-10 00:00:00,1,1,9.02,8.04,8.04,3,False,8.65,8.65,3,False,8.01,0.98,4.37,1.1407,16
2024-02-11 00:00:00,1,1,8.95,8.01,8.01,3,False,8.16,8.16,3,False,7.64,1.14,2.96,1.2573,1
2024-02-12 00:00:00,1,1,5.91,5.71,-0.29,5,True,5.54,-0.46,5,True,4.88,0.47,3.23,0.9091,24
2024-02-13 00:00:00,1,1,4.19,3.87,0.87,5,True,3.73,0.73,5,True,3.2,0.21,3.87,1.1255,18
2024-02-14 00:00:00,1,1,5.78,4.72,1.72,5,True,5.05,2.05,4,True,4.72,0.47,4.78,0.9596,18
2024-02-15 00:00:00,1,1,5.61,4.8,4.8,4,True,4.6,4.6,4,True,4.17,0.25,1.8,0.8464,14
2024-02-16 00:00:00,1,1,4.09,3.86,3.86,4,True,4.03,4.03,4,True,3.66,0.41,3.58,0.9904,20
2024-02-17 00:00:00,1,1,9.87,8.95,3.95,4,True,9.39,4.39,4,True,8.85,1.14,1.16,1.0151,5
2024-02-18 00:00:00,1,1,7.28,6.29,2.29,4,True,6.75,2.75,4,True,6.31,0.46,1.73,1.2222,11
2024-02-19 00:00:00,1,1,5.01,4.62,4.62,4,True,5.07,5.07,3,False,4.48,0.28,2.96,0.7922,28
2024-02-20 00:00:00,1,1,4.29,4.05,4.05,4,True,3.89,3.89,4,True,3.56,0.33,2.98,1.0037,3
2024-02-21 00:00:00,1,1,4.36,3.81,-1.19,5,True,3.72,-1.28,5,True,3.4,0.27,1.51,0.8061,10
2024-02-22 00:00:00,1,1,5.21,4.93,1.93,5,True,4.73,1.73,5,True,4.33,0.52,4.82,0.8064,21
2024-02-23 00:00:00,1,1,4.79,4.44,1.44,5,True,5.06,2.06,4,True,4.44,0.48,0.3,1.084,0
2024-02-24 00:00:00,1,1,9.3,9.04,4.04,4,True,9.11,4.11,4,True,8.32,1.13,2.01,1.1799,25
2024-02-25 00:00:00,1,1,8.97,7.95,1.95,5,True,8.43,2.43,4,True,7.81,1.23,4.34,1.2717,26
2024-02-26 00:00:00,1,1,5.74,4.98,-3.02,4,True,4.9,-3.1,4,True,4.57,0.27,2.52,0.7639,13
2024-02-27 00:00:00,1,1,4.33,4.03,-3.97,4,True,4.11,-3.89,4,True,3.56,0.37,3.82,1.1364,12
2024-02-28 00:00:00,1,1,5.23,4.9,2.9,4,True,5.24,3.24,4,True,4.92,0.62,3.13,1.1306,24
2024-02-29 00:00:00,1,1,6.23,5.51,5.51,3,False,5.76,5.76,3,False,5.38,0.83,2.23,1.1622,2
2024-03-01 00:00:00,1,1,5.43,5,-1,5,True,5.08,-0.92,5,True,4.76,0.62,4.96,1.028,20
2024-03-02 00:00:00,1,1,7.87,7.29,7.29,3,False,7.43,7.43,3,False,6.5,1.01,0.73,0.981,23
2024-03-03 00:00:00,1,1,8.73,7.72,6.72,3,False,8.23,7.23,3,False,7.22,1.04,3.21,1.125,14
2024-03-04 00:00:00,1,1,4.83,4.18,-0.82,5,True,4.6,-0.4,5,True,4.18,0.55,1.28,0.8706,0
2024-03-05 00:00:00,1,1,4.46,4.36,-0.64,5,True,4.96,-0.04,5,True,4.56,0.4,1.98,0.7219,24
2024-03-06 00:00:00,1,1,5.3,4.75,0.75,5,True,4.68,0.68,5,True,4.03,0.42,0.01,0.9713,4
2024-03-07 00:00:00,1,1,4.07,3.81,-5.19,3,False,4.15,-4.85,4,True,3.69,0.55,2.52,0.7895,16
2024-03-08 00:00:00,1,1,5.36,5.06,5.06,3,False,4.8,4.8,4,True,4.33,0.6,2.14,0.7799,5
2024-03-09 00:00:00,1,1,7.3,7.02,1.02,5,True,6.58,0.58,5,True,5.99,0.95,4.56,0.9734,13
2024-03-10 00:00:00,1,1,8.1,7.2,7.2,3,False,7.61,7.61,3,False,6.93,0.73,4.28,0.9232,8
2024-03-11 00:00:00,1,1,5.7,5.21,5.21,3,False,5.45,5.45,3,False,4.86,0.53,0.21,1.0932,14
2024-03-12 00:00:00,1,1,4.47,3.89,3.89,4,True,4.03,4.03,4,True,3.69,0.3,0,1.1047,0
2024-03-13 00:00:00,1,1,4.53,4.07,4.07,4,True,3.99,3.99,4,True,3.58,0.36,2.29,1.1999,23
2024-03-14 00:00:00,1,1,5.6,4.84,4.84,4,True,5.52,5.52,3,False,4.91,0.52,0.92,0.7652,11
2024-03-15 00:00:00,1,1,5.72,5.31,5.31,3,False,5.53,5.53,3,False,4.98,0.81,0.37,0.8056,29
2024-03-16 00:00:00,1,1,9.35,8.57,6.57,3,False,8.86,6.86,3,False,8.21,1.18,3.36,1.2969,15
2024-03-17 00:00:00,1,1,7.35,6.55,6.55,3,False,6.35,6.35,3,False,5.68,0.33,2.11,1.274,18
2024-03-18 00:00:00,1,1,4.5,4.44,4.44,4,True,4.84,4.84,4,True,4.14,0.29,3.58,0.9731,21
2024-03-19 00:00:00,1,1,5.82,5.6,4.6,4,True,5.86,4.86,4,True,5.37,0.34,4.71,0.7478,7
2024-03-20 00:00:00,1,1,5.88,5.33,-0.67,5,True,5.46,-0.54,5,True,4.97,0.63,0.94,0.8686,18
2024-03-21 00:00:00,1,1,5.12,4.77,4.77,4,True,5.15,5.15,3,False,4.64,0.68,0.82,1.1293,5
2024-03-22 00:00:00,1,1,4.62,4.19,3.19,4,True,4.18,3.18,4,True,3.66,0.46,4.13,1.1643,14
2024-03-23 00:00:00,1,1,10.03,9.36,-7.64,3,False,9.68,-7.32,3,False,8.85,0.68,3.69,0.9505,15
2024-03-24 00:00:00,1,1,8.75,8.47,-0.53,5,True,8.36,-0.64,5,True,7.28,0.81,0.69,1.2464,6
2024-03-25 00:00:00,1,1,4.35,4.1,2.1,4,True,4.55,2.55,4,True,4.21,0.58,0.94,1.0791,9
2024-03-26 00:00:00,1,1,4.47,4.23,4.23,4,True,4,4,4,True,3.72,0.31,4.27,1.0153,4
2024-03-27 00:00:00,1,1,5.61,5.11,2.11,4,True,4.91,1.91,5,True,4.62,0.64,2.73,1.1575,10
2024-03-28 00:00:00,1,1,4.55,4.08,1.08,5,True,4.61,1.61,5,True,3.97,0.28,0.3,0.8428,24
2024-03-29 00:00:00,1,1,5.34,5.15,3.15,4,True,5.31,3.31,4,True,4.65,0.47,2.07,0.7372,9
2024-03-30 00:00:00,1,1,10.36,9.94,9.94,3,False,10.64,10.64,2,False,9.49,1,2.44,1.2965,2
2024-03-31 00:00:00,1,1,10.4,9.22,7.22,3,False,9.46,7.46,3,False,8.54,1.24,2.72,1.2228,15
2024-04-01 00:00:00,1,1,3.84,3.64,0.64,5,True,3.78,0.78,5,True,3.33,0.21,3.71,0.7975,28
2024-04-02 00:00:00,1,1,4.55,4.19,2.19,4,True,4.29,2.29,4,True,3.82,0.6,1.97,0.858,15
2024-04-03 00:00:00,1,1,5.48,4.71,4.71,4,True,4.44,4.44,4,True,4.16,0.47,2.24,1.2889,11
2024-04-04 00:00:00,1,1,4.14,4.14,-1.86,5,True,4.48,-1.52,5,True,4.14,0.26,4.16,0.8527,17
2024-04-05 00:00:00,1,1,5.39,4.88,4.88,4,True,4.54,4.54,4,True,3.88,0.62,3.71,0.7198,19
2024-04-06 00:00:00,1,1,8.96,8.35,8.35,3,False,8.33,8.33,3,False,7.84,1.09,4.48,1.0727,17
2024-04-07 00:00:00,1,1,9.23,8.7,8.7,3,False,8.65,8.65,3,False,7.73,1.02,2.64,1.022,10
2024-04-08 00:00:00,1,1,4.35,4.01,4.01,4,True,4.34,4.34,4,True,3.79,0.43,4.45,1.2201,17
2024-04-09 00:00:00,1,1,5.48,4.86,4.86,4,True,4.8,4.8,4,True,4.37,0.3,1.47,1.0264,15
2024-04-10 00:00:00,1,1,5.36,4.81,4.81,4,True,4.79,4.79,4,True,4.53,0.53,0.25,1.0065,0
2024-04-11 00:00:00,1,1,5.61,5.55,2.55,4,True,5.11,2.11,4,True,4.82,0.56,2.3,1.2848,13
2024-04-12 00:00:00,1,1,5.01,4.45,-1.55,5,True,4.37,-1.63,5,True,4.08,0.55,4.07,1.0969,22
2024-04-13 00:00:00,1,1,8.43,7.72,5.72,3,False,7.85,5.85,3,False,6.82,0.65,2.85,0.8887,19
2024-04-14 00:00:00,1,1,10.26,10.31,-1.69,5,True,9.99,-2.01,4,True,8.96,0.74,3.86,1.0818,1
2024-04-15 00:00:00,1,1,5.69,5.46,-0.54,5,True,5.13,-0.87,5,True,4.82,0.71,0.29,0.9697,20
2024-04-16 00:00:00,1,1,5.74,4.66,1.66,5,True,4.59,1.59,5,True,3.94,0.59,1.64,0.8189,7
2024-04-17 00:00:00,1,1,5.17,4.81,-11.19,2,False,5.32,-10.68,2,False,4.72,0.69,0.71,1.0899,17
2024-04-18 00:00:00,1,1,5.17,4.6,2.6,4,True,4.5,2.5,4,True,3.89,0.66,0.19,0.8424,11
2024-04-19 00:00:00,1,1,5.14,4.92,4.92,4,True,4.51,4.51,4,True,3.94,0.44,3.06,1.0636,4
2024-04-20 00:00:00,1,1,9.59,8.26,0.26,5,True,8.61,0.61,5,True,7.7,0.91,3.3,0.8865,1
2024-04-21 00:00:00,1,1,7.26,6.43,1.43,5,True,6.42,1.42,5,True,5.96,0.85,3.46,0.7803,9
2024-04-22 00:00:00,1,1,4.78,4.27,2.27,4,True,4.22,2.22,4,True,3.99,0.49,3.63,1.2682,14
2024-04-23 00:00:00,1,1,4.32,3.69,-0.31,5,True,4.09,0.09,5,True,3.54,0.33,1.73,0.8035,3
2024-04-24 00:00:00,1,1,4.97,4.64,-0.36,5,True,5.14,0.14,5,True,4.6,0.27,0.12,0.8959,2
2024-04-25 00:00:00,1,1,5.38,5.14,-0.86,5,True,5.13,-0.87,5,True,4.36,0.61,1.16,1.0967,10
2024-04-26 00:00:00,1,1,4.69,4.47,-0.53,5,True,4.11,-0.89,5,True,3.55,0.47,0.65,0.9875,15
2024-04-27 00:00:00,1,1,11.53,10.64,10.64,2,False,10.68,10.68,2,False,10.11,1.15,2.96,1.0381,14
2024-04-28 00:00:00,1,1,8.32,7.11,7.11,3,False,7.18,7.18,3,False,6.76,0.61,3.88,1.2731,22
2024-04-29 00:00:00,1,1,3.9,3.58,-2.42,4,True,3.71,-2.29,4,True,3.16,0.52,0.43,0.7971,28
2024-04-30 00:00:00,1,1,6,6.01,-3.99,4,True,5.83,-4.17,4,True,5.48,0.67,1.73,1.1303,27
2024-05-01 00:00:00,1,1,4.34,3.97,-4.03,4,True,3.83,-4.17,4,True,3.49,0.32,3.04,1.0685,9
2024-05-02 00:00:00,1,1,4.15,3.45,0.45,5,True,3.11,0.11,5,True,2.84,0.27,4.6,0.9035,12
2024-05-03 00:00:00,1,1,5.12,4.76,4.76,4,True,4.98,4.98,4,True,4.71,0.61,4.24,0.7503,10
2024-05-04 00:00:00,1,1,11.02,9.97,7.97,3,False,11.16,9.16,3,False,10.17,0.99,3.5,1.1274,10
2024-05-05 00:00:00,1,1,8.1,7.76,-1.24,5,True,7.47,-1.53,5,True,7.05,0.59,1.61,0.9221,19
2024-05-06 00:00:00,1,1,5.39,4.91,4.91,4,True,4.8,4.8,4,True,4.5,0.5,1.76,0.8807,13
2024-05-07 00:00:00,1,1,5.1,4.58,-1.42,5,True,4.58,-1.42,5,True,4.17,0.5,2.04,0.7194,6
2024-05-08 00:00:00,1,1,5.76,5.28,0.28,5,True,5.74,0.74,5,True,5.39,0.63,3.71,0.7917,27
2024-05-09 00:00:00,1,1,4.29,3.58,-2.42,4,True,3.59,-2.41,4,True,3.11,0.38,4.64,0.7351,20
2024-05-10 00:00:00,1,1,5.15,4.88,-3.12,4,True,5.39,-2.61,4,True,4.77,0.76,4.8,1.0865,16
2024-05-11 00:00:00,1,1,8.28,7.72,7.72,3,False,7.4,7.4,3,False,6.58,0.98,2.46,0.7474,21
2024-05-12 00:00:00,1,1,8.6,8.19,8.19,3,False,7.91,7.91,3,False,7.31,0.95,0.01,1.0413,22
2024-05-13 00:00:00,1,1,4.71,4.75,-1.25,5,True,4.55,-1.45,5,True,3.97,0.26,0.74,1.1838,18
2024-05-14 00:00:00,1,1,4.66,4.15,-1.85,5,True,4.18,-1.82,5,True,3.86,0.39,1.39,1.1396,23
2024-05-15 00:00:00,1,1,5.03,4.72,4.72,4,True,4.48,4.48,4,True,4.17,0.35,1.04,0.8547,24
2024-05-16 00:00:00,1,1,4.89,4.32,4.32,4,True,4.43,4.43,4,True,4.09,0.31,1.44,0.9419,26
2024-05-17 00:00:00,1,1,6.27,5.92,1.92,5,True,5.99,1.99,5,True,5.6,0.8,3.94,1.2493,20
2024-05-18 00:00:00,1,1,10.7,9.97,-13.03,3,False,10.91,-12.09,3,False,10.12,1.42,3.71,0.806,4
2024-05-19 00:00:00,1,1,11.6,11.05,11.05,2,False,10.91,10.91,2,False,9.62,0.93,3.9,0.7818,22
2024-05-20 00:00:00,1,1,4.45,4.19,4.19,4,True,4.08,4.08,4,True,3.51,0.49,2.91,1.1659,15
2024-05-21 00:00:00,1,1,3.89,3.2,3.2,4,True,3.14,3.14,4,True,2.66,0.47,0.38,1.091,21
2024-05-22 00:00:00,1,1,4.06,3.75,1.75,5,True,4.06,2.06,4,True,3.58,0.58,4.96,0.7829,24
2024-05-23 00:00:00,1,1,4.75,4.43,4.43,4,True,4.18,4.18,4,True,3.72,0.28,3.91,1.0081,13
2024-05-24 00:00:00,1,1,4.01,3.48,-1.52,5,True,3.25,-1.75,5,True,2.9,0.41,1.14,0.9747,2
2024-05-25 00:00:00,1,1,10.01,9.01,-4.99,4,True,10.11,-3.89,4,True,9.04,0.62,4.67,1.1251,9
2024-05-26 00:00:00,1,1,9.85,8.64,2.64,4,True,9.29,3.29,4,True,8.43,0.72,2.49,1.0621,11
2024-05-27 00:00:00,1,1,5.3,5.14,5.14,3,False,5.66,5.66,3,False,5.17,0.81,4.5,0.9695,27
2024-05-28 00:00:00,1,1,5.41,4.91,1.91,5,True,4.88,1.88,5,True,4.36,0.62,2.3,1.0991,24
2024-05-29 00:00:00,1,1,5.6,5.17,-0.83,5,True,5.16,-0.84,5,True,4.54,0.75,0.47,1.2843,4
2024-05-30 00:00:00,1,1,5.89,5.36,0.36,5,True,5.17,0.17,5,True,4.43,0.38,4.34,0.7323,20
2024-05-31 00:00:00,1,1,5.65,5.13,1.13,5,True,5.39,1.39,5,True,4.65,0.73,1.03,1.0565,0
2024-06-01 00:00:00,1,1,8.97,7.56,-4.44,4,True,7.54,-4.46,4,True,6.99,0.44,1.79,1.2855,14
2024-06-02 00:00:00,1,1,9.48,8.94,8.94,3,False,9.27,9.27,3,False,8.13,0.85,4.09,1.2138,9
2024-06-03 00:00:00,1,1,5.81,5.08,-0.92,5,True,5.05,-0.95,5,True,4.77,0.32,2.41,1.256,25
2024-06-04 00:00:00,1,1,5.66,5.04,2.04,4,True,4.73,1.73,5,True,4.49,0.32,3.91,0.9962,10
2024-06-05 00:00:00,1,1,5.54,4.66,4.66,4,True,4.99,4.99,4,True,4.26,0.36,0.02,0.9661,0
2024-06-06 00:00:00,1,1,5.6,5.19,5.19,3,False,5.5,5.5,3,False,4.8,0.32,3.01,0.8884,26
2024-06-07 00:00:00,1,1,4.42,3.81,-2.19,4,True,3.77,-2.23,4,True,3.26,0.31,0.45,1.1967,26
2024-06-08 00:00:00,1,1,8.68,7.78,-8.22,3,False,8.71,-7.29,3,False,7.4,1.08,4.32,0.902,3
2024-06-09 00:00:00,1,1,9.72,8.94,8.94,3,False,8.3,8.3,3,False,7.11,1.03,2.92,0.9954,21
2024-06-10 00:00:00,1,1,5.07,4.14,-2.86,4,True,4.07,-2.93,4,True,3.84,0.25,3.14,0.8994,9
2024-06-11 00:00:00,1,1,4.6,4.72,0.72,5,True,4.88,0.88,5,True,4.28,0.62,4.99,0.916,19
2024-06-12 00:00:00,1,1,4.87,4.51,4.51,4,True,4.53,4.53,4,True,4.24,0.64,0.33,0.8878,11
2024-06-13 00:00:00,1,1,4.83,4.32,1.32,5,True,4.41,1.41,5,True,3.82,0.27,4.86,0.9501,28
2024-06-14 00:00:00,1,1,4.75,4.35,-1.65,5,True,4.51,-1.49,5,True,3.93,0.3,2.46,1.1438,10
2024-06-15 00:00:00,1,1,9.34,8.63,-4.37,4,True,8.41,-4.59,4,True,7.86,0.42,2.52,0.8235,8
2024-06-16 00:00:00,1,1,11.04,10.89,-2.11,4,True,10.45,-2.55,4,True,9.01,0.81,2.82,0.9885,13
2024-06-17 00:00:00,1,1,5.07,4.79,-0.21,5,True,5.12,0.12,5,True,4.76,0.66,1.48,0.7316,13
2024-06-18 00:00:00,1,1,4.97,4.85,0.85,5,True,5.21,1.21,5,True,4.45,0.27,2.15,0.9078,10
2024-06-19 00:00:00,1,1,4.37,3.96,-7.04,3,False,4.11,-6.89,3,False,3.69,0.49,1.27,1.2644,19
2024-06-20 00:00:00,1,1,4.44,3.86,3.86,4,True,4.24,4.24,4,True,3.77,0.3,1.77,1.2375,1
2024-06-21 00:00:00,1,1,4.98,4.78,-1.22,5,True,4.94,-1.06,5,True,4.31,0.63,0.94,1.1018,4
2024-06-22 00:00:00,1,1,8.71,8.55,-3.45,4,True,8.57,-3.43,4,True,7.88,0.55,4.68,0.7959,20
2024-06-23 00:00:00,1,1,10.31,8.91,1.91,5,True,9.14,2.14,4,True,8.57,0.74,1.86,0.93,5
2024-06-24 00:00:00,1,1,6.07,5.86,-5.14,3,False,6.54,-4.46,4,True,5.58,0.62,0.81,1.2196,3
2024-06-25 00:00:00,1,1,5.71,5.16,5.16,3,False,4.9,4.9,4,True,4.52,0.52,4.66,1.1757,5
2024-06-26 00:00:00,1,1,5.5,5.13,4.13,4,True,5.24,4.24,4,True,4.96,0.78,0.01,0.7485,9
2024-06-27 00:00:00,1,1,5.27,4.68,4.68,4,True,4.53,4.53,4,True,4.22,0.33,3.25,1.0182,11
2024-06-28 00:00:00,1,1,4.68,4.53,0.53,5,True,4.71,0.71,5,True,4.47,0.36,3.86,0.7966,2
2024-06-29 00:00:00,1,1,9,8.76,8.76,3,False,9.4,9.4,3,False,8.35,0.52,4.31,0.768,13
2024-06-30 00:00:00,1,1,8.04,7.43,0.43,5,True,8.35,1.35,5,True,7.52,0.92,4.46,1.1244,28
2024-07-01 00:00:00,1,1,5.18,4.37,-1.63,5,True,4.39,-1.61,5,True,3.98,0.61,4.44,0.8735,11
2024-07-02 00:00:00,1,1,4.95,4.23,4.23,4,True,4.35,4.35,4,True,3.97,0.54,2.2,1.1926,11
2024-07-03 00:00:00,1,1,4.44,4.19,0.19,5,True,4.14,0.14,5,True,3.66,0.25,2.03,0.8213,10
2024-07-04 00:00:00,1,1,5.41,4.84,-2.16,4,True,5.08,-1.92,5,True,4.6,0.48,4,0.7099,29
2024-07-05 00:00:00,1,1,4.66,4.67,-5.33,3,False,4.92,-5.08,3,False,4.31,0.57,1.36,0.7991,7
2024-07-06 00:00:00,1,1,11.35,10.54,10.54,2,False,11.68,11.68,2,False,10.54,1.75,3.57,0.7073,15
2024-07-07 00:00:00,1,1,8.72,8.53,7.53,3,False,8.92,7.92,3,False,7.68,1.31,1,1.1167,28
2024-07-08 00:00:00,1,1,6.03,5.5,-1.5,5,True,5.57,-1.43,5,True,4.82,0.6,4.26,0.9622,25
2024-07-09 00:00:00,1,1,5.14,4.96,-1.04,5,True,5.16,-0.84,5,True,4.66,0.28,3.59,0.839,9
2024-07-10 00:00:00,1,1,3.97,3.87,3.87,4,True,4.04,4.04,4,True,3.52,0.46,3.08,1.0473,24
2024-07-11 00:00:00,1,1,4.07,3.95,0.95,5,True,4.08,1.08,5,True,3.7,0.23,1.05,0.7148,0
2024-07-12 00:00:00,1,1,5.3,5.1,-0.9,5,True,5.45,-0.55,5,True,4.78,0.31,2.88,1.1264,17
2024-07-13 00:00:00,1,1,8.39,7.66,0.66,5,True,8.82,1.82,5,True,7.98,0.55,3.11,1.2536,14
2024-07-14 00:00:00,1,1,10.49,9.86,9.86,3,False,10.27,10.27,2,False,9.64,1.09,2.77,1.1711,11
2024-07-15 00:00:00,1,1,3.98,3.62,1.62,5,True,3.53,1.53,5,True,3.33,0.27,3.81,0.7278,15
2024-07-16 00:00:00,1,1,4.91,4.42,4.42,4,True,4.87,4.87,4,True,4.54,0.44,3.8,1.0973,0
2024-07-17 00:00:00,1,1,6.02,5.54,2.54,4,True,5.78,2.78,4,True,5.15,0.45,0.28,0.9718,11
2024-07-18 00:00:00,1,1,5.58,5.21,-4.79,4,True,5.33,-4.67,4,True,4.62,0.71,3.1,0.8614,20
2024-07-19 00:00:00,1,1,4.14,4.07,1.07,5,True,4.22,1.22,5,True,3.83,0.57,2.19,1.088,10
2024-07-20 00:00:00,1,1,9.77,8.83,-7.17,3,False,8.91,-7.09,3,False,7.69,1.26,3.3,0.8845,7
2024-07-21 00:00:00,1,1,10.4,9.78,-15.22,2,False,9.25,-15.75,2,False,8.7,0.68,1.59,1.1481,29
2024-07-22 00:00:00,1,1,4.55,4.19,4.19,4,True,3.74,3.74,4,True,3.27,0.34,3.84,0.8933,19
2024-07-23 00:00:00,1,1,5.49,5.15,1.15,5,True,5.65,1.65,5,True,5.36,0.81,4.6,0.7034,12
2024-07-24 00:00:00,1,1,4.61,4.62,3.62,4,True,4.85,3.85,4,True,4.54,0.27,3.21,0.7432,14
2024-07-25 00:00:00,1,1,4.27,3.99,0.99,5,True,4.29,1.29,5,True,3.66,0.55,3.92,1.2886,22
2024-07-26 00:00:00,1,1,4.42,3.91,-2.09,4,True,4.02,-1.98,5,True,3.59,0.47,3.83,1.0501,4
2024-07-27 00:00:00,1,1,8.64,7.71,-7.29,3,False,8.03,-6.97,3,False,7.52,1.08,4.38,0.8171,13
2024-07-28 00:00:00,1,1,7.08,6.43,6.43,3,False,6.96,6.96,3,False,6.35,0.97,3.95,1.1054,22
2024-07-29 00:00:00,1,1,4.89,4.09,4.09,4,True,3.82,3.82,4,True,3.55,0.21,3.41,1.2715,11
